                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                 1.8088,                 1.4746,                 1.3834,                0.70796,                0.60364,                0.65536,                0.34403,                 1.5752,                 1.3834,                 1.3004,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.8043,                 1.4706,                 1.3532,                0.73235,                0.62729,                0.66919,                0.36688,                 1.5871,                 1.3072,                 1.3119,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.8407,                 1.4495,                 1.3428,                0.75878,                0.59681,                0.66809,                0.34515,                 1.7211,                 1.3127,                 1.3605,               0.000713,               0.000713,               0.000713
                     68,                  1.788,                 1.4263,                 1.4052,                0.69377,                0.62451,                0.65386,                0.33598,                 1.6496,                 1.3173,                 1.3328,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.7814,                 1.3372,                 1.3123,                0.69935,                0.60681,                0.66029,                0.35456,                 1.5842,                  1.318,                 1.3104,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.7132,                 1.3934,                 1.3048,                0.72375,                0.61097,                0.67484,                0.36731,                 1.6036,                 1.2656,                  1.312,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.7076,                 1.3163,                 1.3485,                0.74082,                0.60079,                0.67113,                0.37122,                   1.54,                 1.2477,                 1.2955,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.7783,                 1.3656,                 1.3791,                0.72476,                0.63241,                0.68239,                0.37835,                 1.5365,                 1.1876,                 1.2912,               0.000614,               0.000614,               0.000614
                     73,                 1.7288,                 1.3059,                 1.3045,                 0.7573,                0.58103,                 0.6717,                0.37412,                 1.5817,                 1.2343,                 1.3045,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.7085,                 1.3306,                  1.297,                0.74794,                0.60989,                0.68019,                0.37375,                 1.5755,                  1.239,                 1.2979,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.7563,                 1.3072,                 1.3758,                0.77811,                0.63241,                0.69934,                0.38532,                  1.545,                 1.2039,                 1.2891,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.6884,                 1.3156,                 1.2713,                0.77448,                0.59724,                0.68092,                0.38352,                 1.5463,                  1.288,                 1.2867,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.7533,                 1.3503,                 1.3687,                0.73337,                0.64822,                0.68225,                0.38555,                 1.5336,                 1.2257,                 1.2848,               0.000515,               0.000515,               0.000515
                     78,                 1.7465,                 1.3501,                 1.3691,                0.76534,                0.61877,                 0.7012,                0.39225,                 1.5226,                 1.1976,                  1.279,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.7469,                 1.3058,                 1.3182,                0.79243,                0.61867,                0.69874,                0.37861,                 1.5652,                 1.1987,                 1.2875,              0.0004754,              0.0004754,              0.0004754
                     80,                 1.7509,                 1.3247,                 1.3407,                0.78044,                0.63222,                0.69806,                0.39661,                 1.5088,                 1.1878,                 1.2735,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.7078,                   1.34,                 1.3464,                0.77944,                0.62846,                 0.6942,                0.39341,                 1.5067,                 1.1759,                 1.2727,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.7112,                 1.2766,                 1.2756,                0.79797,                0.60885,                0.71401,                0.39387,                 1.5293,                 1.2005,                 1.2783,               0.000416,               0.000416,               0.000416
                     83,                 1.7132,                 1.2891,                 1.3425,                0.79519,                0.62846,                0.72221,                0.40672,                 1.4998,                 1.1816,                 1.2628,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.6981,                 1.3018,                 1.3088,                0.83538,                0.64427,                0.73934,                0.41337,                 1.4771,                 1.1546,                 1.2586,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.6742,                 1.2165,                 1.2663,                0.80017,                0.66008,                0.73064,                0.40695,                 1.4979,                 1.2042,                 1.2615,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.7618,                 1.2551,                 1.3221,                0.77307,                0.63285,                0.71123,                0.40039,                 1.4945,                 1.2042,                 1.2632,              0.0003368,              0.0003368,              0.0003368
                     87,                 1.7444,                 1.2748,                 1.3387,                0.77387,                0.64822,                0.71598,                0.40414,                 1.4797,                   1.16,                  1.257,               0.000317,               0.000317,               0.000317
                     88,                 1.7247,                 1.2992,                 1.3331,                0.81598,                0.64822,                0.73013,                0.41202,                 1.5002,                 1.1234,                 1.2608,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.6876,                 1.2244,                 1.2705,                0.81041,                0.64205,                0.73312,                0.42075,                 1.5075,                 1.1365,                 1.2596,              0.0002774,              0.0002774,              0.0002774
                     90,                 1.6732,                 1.2067,                 1.2876,                0.81159,                0.64822,                0.72982,                0.42213,                 1.4992,                 1.1405,                 1.2563,              0.0002576,              0.0002576,              0.0002576
                     91,                  1.615,                 1.3123,                 1.3257,                0.82265,                0.64427,                0.72828,                 0.4201,                 1.4883,                 1.1125,                 1.2562,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.6454,                 1.3139,                 1.3404,                0.77423,                0.64032,                0.70587,                0.40539,                 1.5135,                 1.1808,                 1.2689,               0.000218,               0.000218,               0.000218
                     93,                 1.6146,                 1.2738,                 1.3208,                0.77747,                0.64903,                0.70508,                0.40175,                 1.5092,                 1.1588,                 1.2655,              0.0001982,              0.0001982,              0.0001982
                     94,                 1.6248,                 1.2286,                 1.3711,                0.80595,                0.66403,                0.73262,                0.42231,                  1.466,                  1.119,                 1.2486,              0.0001784,              0.0001784,              0.0001784
                     95,                 1.5821,                 1.2168,                  1.327,                0.83474,                0.66798,                0.73663,                0.42273,                 1.4651,                 1.1485,                 1.2474,              0.0001586,              0.0001586,              0.0001586
                     96,                 1.6376,                 1.2287,                 1.3436,                0.83475,                0.65891,                0.74866,                0.42079,                 1.4684,                 1.1707,                 1.2474,              0.0001388,              0.0001388,              0.0001388
                     97,                 1.6626,                 1.2598,                 1.3883,                0.84263,                0.66403,                0.74622,                0.42341,                  1.468,                 1.1413,                 1.2476,               0.000119,               0.000119,               0.000119
                     98,                 1.6106,                   1.21,                 1.3952,                 0.8259,                0.67502,                0.74133,                0.42351,                 1.4687,                 1.1158,                 1.2488,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 1.5483,                 1.1984,                 1.2862,                0.81103,                0.67984,                0.74141,                0.42506,                   1.46,                 1.0941,                 1.2465,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                 1.6204,                 1.1733,                 1.3149,                0.81112,                0.67589,                0.74534,                0.43019,                 1.4636,                 1.0866,                 1.2463,               5.96e-05,               5.96e-05,               5.96e-05
