                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.84015,                0.65662,                 1.2137,                0.60357,                0.27518,                0.30819,                0.21922,                 2.0189,                 2.4109,                 2.3307,               0.003763,               0.003763,               0.003763
                     66,                0.83882,                0.65123,                 1.2099,                 0.5241,                0.29484,                0.31178,                0.21447,                 2.0522,                 2.5365,                 2.3924,               0.003664,               0.003664,               0.003664
                     67,                0.83336,                0.64211,                 1.2066,                0.52404,                0.31941,                0.32082,                0.21848,                 2.0908,                 2.4432,                 2.4385,               0.003565,               0.003565,               0.003565
                     68,                0.82648,                0.63889,                 1.2057,                0.59608,                0.28993,                0.31685,                0.21772,                 2.0549,                 2.4546,                 2.3897,               0.003466,               0.003466,               0.003466
                     69,                0.81991,                0.62915,                 1.1933,                0.54211,                 0.3145,                0.31844,                0.21819,                 2.0962,                 2.4774,                 2.4198,               0.003367,               0.003367,               0.003367
                     70,                  0.819,                0.62991,                 1.1941,                 0.5346,                0.29238,                0.30851,                0.21504,                 2.0916,                 2.4763,                 2.4223,               0.003268,               0.003268,               0.003268
                     71,                0.81145,                0.61801,                 1.1875,                0.67783,                0.26536,                0.30463,                0.21377,                  2.096,                 2.5601,                 2.4318,               0.003169,               0.003169,               0.003169
                     72,                0.81219,                0.61495,                 1.1883,                0.60766,                 0.2801,                0.30717,                0.21656,                 2.0804,                  2.505,                 2.4018,                0.00307,                0.00307,                0.00307
                     73,                0.81554,                 0.6211,                   1.19,                0.60342,                0.27764,                0.30691,                 0.2157,                 2.0882,                 2.5298,                 2.4133,               0.002971,               0.002971,               0.002971
                     74,                0.79551,                0.60686,                 1.1753,                0.59121,                0.27518,                0.30343,                0.21404,                 2.0697,                  2.611,                 2.4152,               0.002872,               0.002872,               0.002872
                     75,                0.80634,                 0.6067,                 1.1797,                0.60025,                0.27273,                0.30391,                0.21123,                 2.0771,                 2.5724,                 2.4108,               0.002773,               0.002773,               0.002773
                     76,                0.79985,                0.60409,                 1.1754,                0.50364,                0.29169,                0.29995,                0.20952,                  2.094,                 2.5705,                 2.4466,               0.002674,               0.002674,               0.002674
                     77,                0.78052,                0.58707,                 1.1667,                0.51702,                 0.2973,                0.30235,                0.21085,                 2.0922,                 2.6076,                 2.4685,               0.002575,               0.002575,               0.002575
                     78,                0.79075,                0.59416,                  1.171,                0.58082,                0.28256,                0.31029,                0.21557,                 2.1064,                 2.5546,                 2.4402,               0.002476,               0.002476,               0.002476
                     79,                0.78432,                0.59202,                 1.1614,                0.55589,                0.28256,                0.30891,                0.21948,                   2.05,                 2.5152,                 2.4055,               0.002377,               0.002377,               0.002377
                     80,                0.78064,                 0.5739,                 1.1584,                0.49244,                0.29798,                0.31091,                 0.2166,                 2.0533,                 2.6306,                 2.4081,               0.002278,               0.002278,               0.002278
                     81,                 0.7861,                0.58312,                 1.1639,                0.56529,                0.28117,                0.30863,                0.21595,                 2.0855,                  2.624,                 2.4465,               0.002179,               0.002179,               0.002179
                     82,                0.77567,                0.57081,                 1.1589,                0.53906,                0.28993,                0.30692,                0.21175,                 2.0915,                 2.6703,                 2.4587,                0.00208,                0.00208,                0.00208
                     83,                0.77466,                0.56962,                 1.1535,                 0.7654,                0.25061,                0.30371,                0.21248,                 2.0842,                 2.6787,                 2.4606,               0.001981,               0.001981,               0.001981
                     84,                0.77169,                0.56705,                 1.1552,                0.56126,                0.29975,                0.31046,                0.21236,                 2.0783,                 2.6575,                 2.4261,               0.001882,               0.001882,               0.001882
                     85,                0.75853,                0.56422,                 1.1441,                0.54989,                 0.2973,                 0.3088,                0.21574,                  2.051,                 2.6608,                 2.3972,               0.001783,               0.001783,               0.001783
                     86,                0.76557,                0.55846,                 1.1469,                0.54656,                0.30221,                0.30646,                0.21208,                 2.0766,                 2.6565,                 2.4454,               0.001684,               0.001684,               0.001684
                     87,                0.76088,                0.56228,                 1.1443,                0.53869,                0.29553,                0.30381,                0.21056,                 2.0847,                 2.6511,                 2.4436,               0.001585,               0.001585,               0.001585
                     88,                0.75394,                0.55525,                 1.1427,                0.54076,                 0.2973,                0.30048,                0.21004,                 2.0786,                 2.7067,                 2.4442,               0.001486,               0.001486,               0.001486
                     89,                  0.748,                0.55358,                 1.1376,                0.58148,                0.28675,                0.30124,                0.20917,                 2.0606,                 2.7331,                 2.4498,               0.001387,               0.001387,               0.001387
